,0,projector,dataset,encoder,classifier
175,Rand-spiderbreast-HIBOU-MLP,Rand,spiderbreast,HIBOU,MLP
176,Rand-spiderbreast-HIBOU-XGBoost,Rand,spiderbreast,HIBOU,XGBoost
177,Rand-spiderbreast-DinoV2-LG,Rand,spiderbreast,DinoV2,LG
178,Rand-spiderbreast-DinoV2-MLP,Rand,spiderbreast,DinoV2,MLP
179,Rand-spiderbreast-DinoV2-XGBoost,Rand,spiderbreast,DinoV2,XGBoost
180,Rand-spiderthorax-Uni-LG,Rand,spiderthorax,Uni,LG
181,Rand-spiderthorax-Uni-MLP,Rand,spiderthorax,Uni,MLP
182,Rand-spiderthorax-Uni-XGBoost,Rand,spiderthorax,Uni,XGBoost
183,Rand-spiderthorax-Uni2-LG,Rand,spiderthorax,Uni2,LG
184,Rand-spiderthorax-Uni2-MLP,Rand,spiderthorax,Uni2,MLP
185,Rand-spiderthorax-Uni2-XGBoost,Rand,spiderthorax,Uni2,XGBoost
186,Rand-spiderthorax-HIBOU-LG,Rand,spiderthorax,HIBOU,LG
187,Rand-spiderthorax-HIBOU-MLP,Rand,spiderthorax,HIBOU,MLP
188,Rand-spiderthorax-HIBOU-XGBoost,Rand,spiderthorax,HIBOU,XGBoost
189,Rand-spiderthorax-DinoV2-LG,Rand,spiderthorax,DinoV2,LG
190,Rand-spiderthorax-DinoV2-MLP,Rand,spiderthorax,DinoV2,MLP
191,Rand-spiderthorax-DinoV2-XGBoost,Rand,spiderthorax,DinoV2,XGBoost
192,Rand-sr386-Uni-LG,Rand,sr386,Uni,LG
193,Rand-sr386-Uni-MLP,Rand,sr386,Uni,MLP
194,Rand-sr386-Uni-XGBoost,Rand,sr386,Uni,XGBoost
195,Rand-sr386-Uni2-LG,Rand,sr386,Uni2,LG
196,Rand-sr386-Uni2-MLP,Rand,sr386,Uni2,MLP
197,Rand-sr386-Uni2-XGBoost,Rand,sr386,Uni2,XGBoost
198,Rand-sr386-HIBOU-LG,Rand,sr386,HIBOU,LG
199,Rand-sr386-HIBOU-MLP,Rand,sr386,HIBOU,MLP
200,Rand-sr386-HIBOU-XGBoost,Rand,sr386,HIBOU,XGBoost
201,Rand-sr386-DinoV2-LG,Rand,sr386,DinoV2,LG
202,Rand-sr386-DinoV2-MLP,Rand,sr386,DinoV2,MLP
203,Rand-sr386-DinoV2-XGBoost,Rand,sr386,DinoV2,XGBoost
204,Rand-kather100k-Uni-LG,Rand,kather100k,Uni,LG
205,Rand-kather100k-Uni-MLP,Rand,kather100k,Uni,MLP
206,Rand-kather100k-Uni-XGBoost,Rand,kather100k,Uni,XGBoost
207,Rand-kather100k-Uni2-LG,Rand,kather100k,Uni2,LG
208,Rand-kather100k-Uni2-MLP,Rand,kather100k,Uni2,MLP
209,Rand-kather100k-Uni2-XGBoost,Rand,kather100k,Uni2,XGBoost
210,Rand-kather100k-HIBOU-LG,Rand,kather100k,HIBOU,LG
211,Rand-kather100k-HIBOU-MLP,Rand,kather100k,HIBOU,MLP
212,Rand-kather100k-HIBOU-XGBoost,Rand,kather100k,HIBOU,XGBoost
213,Rand-kather100k-DinoV2-LG,Rand,kather100k,DinoV2,LG
214,Rand-kather100k-DinoV2-MLP,Rand,kather100k,DinoV2,MLP
215,Rand-kather100k-DinoV2-XGBoost,Rand,kather100k,DinoV2,XGBoost
