,key,path,found_perm,true_perm,correct,overlap,luv_coords
112,b,../puck/data/images_copy/dark/jack_cole/short/B/dark_jack_cole_short_B_3.jpg,adc,ahc,False,2,"[array([111,  81,  54], dtype=uint8), array([ 88, 155, 162], dtype=uint8), array([111,  73, 137], dtype=uint8)]"
113,b,../puck/data/images_copy/dark/jack_cole/short/B/dark_jack_cole_short_B_1.jpg,adc,ahc,False,2,"[array([104,  82,  61], dtype=uint8), array([ 89, 144, 159], dtype=uint8), array([115,  76, 137], dtype=uint8)]"
114,b,../puck/data/images_copy/dark/jack_cole/short/B/dark_jack_cole_short_B_0.jpg,adc,ahc,False,2,"[array([105,  82,  59], dtype=uint8), array([ 90, 145, 160], dtype=uint8), array([116,  74, 139], dtype=uint8)]"
115,b,../puck/data/images_copy/dark/jack_cole/medium/B/dark_jack_cole_medium_B_4.jpg,adc,ahc,False,2,"[array([107,  82,  54], dtype=uint8), array([100, 144, 157], dtype=uint8), array([126,  74, 133], dtype=uint8)]"
116,b,../puck/data/images_copy/dark/jack_cole/medium/B/dark_jack_cole_medium_B_1.jpg,adc,ahc,False,2,"[array([104,  81,  57], dtype=uint8), array([ 80, 152, 159], dtype=uint8), array([ 91,  76, 139], dtype=uint8)]"
117,b,../puck/data/images_copy/dark/jack_cole/medium/B/dark_jack_cole_medium_B_0.jpg,adc,ahc,False,2,"[array([101,  83,  46], dtype=uint8), array([ 70, 141, 155], dtype=uint8), array([ 91,  76, 139], dtype=uint8)]"
118,b,../puck/data/images_copy/dark/jack_cole/medium/B/dark_jack_cole_medium_B_2.jpg,adc,ahc,False,2,"[array([112,  81,  52], dtype=uint8), array([ 99, 150, 159], dtype=uint8), array([ 85,  78, 139], dtype=uint8)]"
119,b,../puck/data/images_copy/dark/jack_cole/medium/B/dark_jack_cole_medium_B_3.jpg,adc,ahc,False,2,"[array([117,  81,  58], dtype=uint8), array([114, 149, 161], dtype=uint8), array([120,  73, 134], dtype=uint8)]"
120,c,../puck/data/images_copy/dark/michaels/high/C/dark_michaels_high_C_3.jpg,efg,efg,True,3,"[array([ 65, 125, 109], dtype=uint8), array([121, 110, 177], dtype=uint8), array([ 34, 101, 104], dtype=uint8)]"
121,c,../puck/data/images_copy/dark/michaels/high/C/dark_michaels_high_C_2.jpg,efg,efg,True,3,"[array([ 71, 122, 103], dtype=uint8), array([129, 109, 174], dtype=uint8), array([ 84, 106,  99], dtype=uint8)]"
122,c,../puck/data/images_copy/dark/michaels/high/C/dark_michaels_high_C_0.jpg,efg,efg,True,3,"[array([ 71, 121,  99], dtype=uint8), array([124, 104, 174], dtype=uint8), array([ 17,  98, 118], dtype=uint8)]"
123,c,../puck/data/images_copy/dark/michaels/high/C/dark_michaels_high_C_1.jpg,efg,efg,True,3,"[array([ 68, 117,  99], dtype=uint8), array([116, 107, 172], dtype=uint8), array([ 22, 100, 114], dtype=uint8)]"
124,c,../puck/data/images_copy/dark/michaels/high/C/dark_michaels_high_C_4.jpg,efg,efg,True,3,"[array([ 54, 115, 105], dtype=uint8), array([110, 109, 171], dtype=uint8), array([ 38, 101, 103], dtype=uint8)]"
125,c,../puck/data/images_copy/dark/michaels/short/C/dark_michaels_short_C_4.jpg,ehg,efg,False,2,"[array([ 51, 114, 111], dtype=uint8), array([ 99, 111, 170], dtype=uint8), array([ 17,  99, 117], dtype=uint8)]"
126,c,../puck/data/images_copy/dark/michaels/short/C/dark_michaels_short_C_1.jpg,ehg,efg,False,2,"[array([ 46, 114, 110], dtype=uint8), array([ 99, 109, 169], dtype=uint8), array([ 42, 101, 104], dtype=uint8)]"
127,c,../puck/data/images_copy/dark/michaels/short/C/dark_michaels_short_C_0.jpg,efg,efg,True,3,"[array([ 58, 118, 104], dtype=uint8), array([110, 109, 170], dtype=uint8), array([ 60, 104,  99], dtype=uint8)]"
128,c,../puck/data/images_copy/dark/michaels/short/C/dark_michaels_short_C_2.jpg,ehg,efg,False,2,"[array([ 45, 112, 112], dtype=uint8), array([107, 112, 170], dtype=uint8), array([ 16, 100, 122], dtype=uint8)]"
