,0,1,2,3,4,5
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.5,0.165141292,4,True,True,0.165141292,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.6,0.210646083,4,True,True,0.210646083,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.0,0.107802292,4,True,True,0.107802292,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.1,0.113275375,4,True,True,0.113275375,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.2,0.118058875,4,True,True,0.118058875,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.3,0.130040792,4,True,True,0.130040792,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.4,0.126011666,4,True,True,0.126011666,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.5,0.157808166,4,True,True,0.157808166,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg.6,0.210022625,4,True,True,0.210022625,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.0,0.108802375,3,True,False,0.108802375,"[2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.1,0.1117215,4,True,True,0.1117215,"[1.0, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.2,0.116807,4,True,True,0.116807,"[1.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.3,0.125206375,4,True,True,0.125206375,"[1.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.4,0.124258042,4,True,True,0.124258042,"[1.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.5,0.148528292,4,True,True,0.148528292,"[1.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg.6,0.202691084,4,True,True,0.202691084,"[1.0, 1.4142135623730951, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.0,0.106667291,4,True,True,0.106667291,"[1.0, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.1,0.111036459,4,True,True,0.111036459,"[1.0, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.2,0.116932417,4,True,True,0.116932417,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.3,0.126709292,4,True,True,0.126709292,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979]"
